■ 지역별 영화상영관현황,,,,,,,,
- 조회일: 2022-07-05,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,
지역,영화상영관수,스크린수,좌석수,상영타입,,,,
,,,,일반(필름),Digital 2D,Digital 3D,Digital 4D,Digital IMAX
서울시,99,608,"99,959",17,602,232,17,3
경기도,152,871,"121,541",4,862,241,11,6
강원도,30,131,"16,680",2,130,39,0,1
충청북도,22,127,"17,174",0,127,26,2,0
충청남도,32,148,"18,048",1,146,43,2,0
경상북도,34,158,"19,743",0,158,40,0,0
경상남도,38,192,"25,383",0,192,52,2,1
전라북도,29,139,"19,396",1,139,46,1,1
전라남도,24,103,"14,342",0,102,33,0,0
제주도,6,33,"3,584",0,33,8,1,0
부산시,35,235,"38,653",8,235,80,4,1
대구시,25,152,"22,655",1,152,52,1,0
대전시,18,109,"18,103",2,109,33,2,1
울산시,11,61,"10,435",2,61,23,2,1
인천시,27,165,"25,141",1,165,47,2,1
광주시,19,135,"20,233",2,135,35,3,1
세종시,5,25,"3,404",0,25,5,0,0
합계,606,"3,392","494,474",41,"3,373","1,035",50,17
